,champName,gameVersion,dmgtaken,totaldamagedealttochampions,t2.gameDuration/60,matchid,taken/min,dealt/min
5089,Volibear,8.5.220.3006,441913812,91266050,190568.33160000015,6424,2318.925753768837,478.91509168252554
5090,Volibear,8.6.222.2149,240581975,49881619,105066.26650000003,3535,2289.811782738087,474.7634103853875
5091,Volibear,8.7.223.9264,82797924,17291375,36057.5825,1210,2296.2694185058026,479.5489270529992
5092,Volibear,8.7.224.5563,118737852,24890046,53212.31510000001,1821,2231.3979720081747,467.7497296109937
5093,Volibear,8.8.225.6906,78605767,16552168,33703.9339,1123,2332.2430916588046,491.10492707202934
5094,Volibear,8.8.226.7254,110411723,23559166,48028.00009999997,1613,2298.903197512071,490.52981491936026
5095,Volibear,8.9.227.7511,28682531,5860033,12803.333400000003,428,2240.2393270490006,457.69588410468157
5096,Volibear,8.9.228.4283,126139091,26966456,55462.582899999994,1881,2274.3097130443957,486.20988403336696
5097,Volibear,9.1.257.7563,104854496,22662591,47721.51699999998,1640,2197.216320679832,474.89251022761937
5098,Volibear,9.2.260.6714,27035177,5917063,11944.4503,407,2263.4090578450478,495.381775752376
5099,Warwick,8.1.213.4336,169028037,28368306,63301.54869999998,2137,2670.203817620027,448.1455285469186
5100,Warwick,8.1.214.5847,633556356,107619281,238505.03119999994,8070,2656.3647433865963,451.2243639412166
5101,Warwick,8.10.229.7328,440714034,75346682,170015.7149,5847,2592.1958700066025,443.1748091305412
5102,Warwick,8.11.231.7304,124402955,21833853,49096.46659999999,1715,2533.847415406469,444.71332688532016
5103,Warwick,8.11.232.7066,35732636,6315583,14096.5166,486,2534.8557387574742,448.02437220554185
5104,Warwick,8.11.232.8721,193800078,34484954,75583.4175,2622,2564.0555086041195,456.25026150742656
5105,Warwick,8.12.233.4186,357877058,63615463,139285.68390000006,4823,2569.3743102624767,456.72650066228357
5106,Warwick,8.13.235.3406,27943589,4993380,10814.5167,379,2583.8962364356053,461.7293715954963
5107,Warwick,8.13.235.9749,418711874,75557483,159719.0835000001,5426,2621.55194498095,473.06484199804436
5108,Warwick,8.14.238.1713,135022219,23987814,52066.96650000001,1765,2593.2415133115155,460.7108040373352
5109,Warwick,8.14.238.9731,69484762,12398424,26553.765699999996,909,2616.75736635727,466.91772986458193
5110,Warwick,8.14.239.6309,132943821,23419859,51003.18449999999,1717,2606.578830386562,459.18424956386804
5111,Warwick,8.15.239.9021,313286624,55166586,120860.03369999997,4109,2592.144105946911,456.4501954131096
5112,Warwick,8.16.241.6543,319263007,56654482,122031.48280000003,4160,2616.234759051866,464.2611947349048
5113,Warwick,8.17.243.3340,295794317,52762564,113689.28390000008,3875,2601.7783457953487,464.0944352012051
5114,Warwick,8.18.244.9800,97539640,17669541,37819.99990000001,1291,2579.0491871471418,467.20097955367777
5115,Warwick,8.18.245.7444,180369976,32070901,69424.3169,2373,2598.080673372819,461.95486584614844
5116,Warwick,8.19.246.5109,305364570,54378865,117458.53410000005,3999,2599.7648645948825,462.9622310261743
5117,Warwick,8.2.215.824,180878115,31367565,67103.8981,2262,2695.4934083032053,467.4477323695149
5118,Warwick,8.2.216.1199,869469040,149479374,323100.6823999999,10707,2691.015795886169,462.6402299421453
5119,Warwick,8.20.248.3196,47831627,8383902,18337.882899999997,638,2608.3505528329015,457.19028994344825
5120,Warwick,8.20.249.1952,348064750,61395163,133234.64940000008,4546,2612.419153481855,460.8047777097236
5121,Warwick,8.21.250.2733,34401893,5906203,13024.250199999997,441,2641.3722457512376,453.4773909671976
5122,Warwick,8.21.250.9462,118366080,20819630,44722.36839999998,1519,2646.6863056385014,465.53057775893666
5123,Warwick,8.21.251.4430,216752043,37885916,83859.13440000001,2867,2584.7159591000973,451.7804324009335
5124,Warwick,8.22.252.2691,257056985,46180785,98500.4805,3377,2609.7028531754218,468.8381697792834
5125,Warwick,8.23.254.717,209599638,36466062,78365.1684,2699,2674.653066910273,465.33508119150554
5126,Warwick,8.24.255.8524,530797273,91422397,198831.8298,6791,2669.5789780434843,459.7975942381032
5127,Warwick,8.3.217.1022,1191426464,206225581,441511.93200000003,14678,2698.514757241034,467.08948513762925
5128,Warwick,8.4.218.8787,808807877,140566052,299243.27239999996,9995,2702.8439787908164,469.7383866732505
5129,Warwick,8.5.220.3006,763921921,134399871,286701.5680000001,9717,2664.5195083132567,468.77968592065724
5130,Warwick,8.6.222.2149,589457591,102745100,222604.03520000016,7549,2648.0094598033575,461.559916951586
5131,Warwick,8.7.223.9264,225167222,39446567,86073.28549999994,2942,2615.9942738563195,458.29047620123697
5132,Warwick,8.7.224.5563,393477983,68727059,149793.23330000023,5097,2626.80746206978,458.8128414476243
5133,Warwick,8.8.225.6906,240897774,42608220,92528.43180000005,3174,2603.5000195475036,460.4878648770094
5134,Warwick,8.8.226.7254,370969918,65824305,140986.11850000004,4813,2631.2513738719595,466.8850075477465
5135,Warwick,8.9.227.7511,81534789,13710038,31035.28319999999,1073,2627.1643301775966,441.75649732753214
5136,Warwick,8.9.228.4283,400475942,67857624,152081.39949999988,5209,2633.299951977364,446.1927903287085
5137,Warwick,9.1.257.7563,256591950,43816822,97189.88390000003,3378,2640.1096462262562,450.83727072957214
5138,Warwick,9.2.260.6714,49061706,8045456,18604.7336,641,2637.055012709239,432.4413438524054
5139,Wukong,8.1.213.4336,24770077,9346656,16239.399599999999,543,1525.3074380902606,575.5542834231384
5140,Wukong,8.1.214.5847,94930022,35935158,62900.46719999999,2115,1509.2101255489563,571.3019250833165
5141,Wukong,8.10.229.7328,219103773,87920083,141959.5494000001,4834,1543.4239818740919,619.3319390741876
5142,Wukong,8.11.231.7304,73023994,30352013,48780.70039999999,1667,1496.9853528384356,622.2135547688857
5143,Wukong,8.11.232.7066,20476727,8832411,13662.016500000003,464,1498.8070758075862,646.4939491179796
5144,Wukong,8.11.232.8721,113087902,48389711,75963.76550000001,2583,1488.7084816773595,637.0104309797543
5145,Wukong,8.12.233.4186,236390814,103828849,161360.34640000004,5512,1464.9870260813964,643.4595073477109
5146,Wukong,8.13.235.3406,20313558,9094812,13700.265699999998,467,1482.712703885736,663.8420158522912
5147,Wukong,8.13.235.9749,365420395,162494653,247859.39700000008,8322,1474.305188437136,655.5920613330627
5148,Wukong,8.14.238.1713,109710925,46409538,74709.69719999994,2519,1468.4964484101818,621.1983148018975
5149,Wukong,8.14.238.9731,51732220,22194058,35045.784499999994,1183,1476.1324575285228,633.2875213565273
5150,Wukong,8.14.239.6309,101595634,43980587,69038.40140000002,2303,1471.5814958021315,637.0452691275668
5151,Wukong,8.15.239.9021,216867897,92814864,146955.14699999988,4924,1475.7420983696486,631.5863438250317
5152,Wukong,8.16.241.6543,144006526,56862494,97170.4155,3282,1481.99969362074,585.1831929235705
5153,Wukong,8.17.243.3340,127776409,51423257,85118.8504,2886,1501.1528985593538,604.134768718634
5154,Wukong,8.18.244.9800,43808983,18029504,29504.581700000002,981,1484.8196610765708,611.0747199645945
5155,Wukong,8.18.245.7444,76761248,30419988,50544.7656,1697,1518.6784840881724,601.8424982071734
5156,Wukong,8.19.246.5109,130517758,52721698,87310.78450000004,2925,1494.8641081102637,603.8394718581411
5157,Wukong,8.2.215.824,27528196,10515713,18394.100199999997,615,1496.5774732487325,571.6894485548145
5158,Wukong,8.2.216.1199,140328385,54684494,90925.54760000005,2974,1543.332855330529,601.4205626846285
5159,Wukong,8.20.248.3196,19895125,7972051,13007.6165,441,1529.4981213506717,612.8756179120134
5160,Wukong,8.20.249.1952,119121463,48222012,79366.10229999998,2688,1500.9110885869977,607.5895199908288
5161,Wukong,8.21.250.2733,12394917,4800921,8073.866300000001,265,1535.1897764271869,594.6247834200574
5162,Wukong,8.21.250.9462,44327991,17489737,28883.033100000008,962,1534.7415503948575,605.5367156020742
5163,Wukong,8.21.251.4430,82155173,32664961,54552.949799999995,1835,1505.9712316418131,598.7753388177005
5164,Wukong,8.22.252.2691,99547441,40099963,65458.78279999994,2207,1520.765231827685,612.5986656751588
5165,Wukong,8.23.254.717,102087410,38968035,64753.60050000001,2200,1576.5518706562113,601.7894711507199
5166,Wukong,8.24.255.8524,230695054,89952476,149380.36570000008,5042,1544.3465606671753,602.170677374369
5167,Wukong,8.3.217.1022,172700697,67213809,111955.59950000013,3677,1542.582039409291,600.361297694627
5168,Wukong,8.4.218.8787,124867787,48159123,81299.53470000003,2692,1535.8979293149625,592.3665267914502
5169,Wukong,8.5.220.3006,135428256,51278147,87215.44970000006,2870,1552.8012120081967,587.9479745433218
5170,Wukong,8.6.222.2149,157684636,62766579,101458.11980000009,3411,1554.1844882483213,618.6452018205047
5171,Wukong,8.7.223.9264,71263645,28259700,45617.58169999998,1519,1562.1969061985596,619.4914098219286
5172,Wukong,8.7.224.5563,124775378,49537477,80614.69900000002,2689,1547.7993411598543,614.4968301624494
5173,Wukong,8.8.225.6906,70870447,28192211,44914.30159999998,1506,1577.9037962375894,627.688954201617
5174,Wukong,8.8.226.7254,101854212,40832131,66070.00169999995,2227,1541.6105551575924,618.0131670860852
5175,Wukong,8.9.227.7511,23533178,9700904,15638.866799999998,536,1504.7879300308384,620.3073486117294
5176,Wukong,8.9.228.4283,123601208,50263990,79943.8346,2716,1546.100566959794,628.7412938283048
5177,Wukong,9.1.257.7563,104428811,40390618,67375.6339,2299,1549.9492168785368,599.4840517559866
5178,Wukong,9.2.260.6714,16196129,6150894,10591.5498,357,1529.1557237449802,580.7359750128352
5179,Xayah,8.1.213.4336,55195449,34767327,52982.231700000004,1788,1041.772821358901,656.2072960018405
