,matchid,accountid,win,kills,deaths,assists,totalminionskilled,wardsplaced,totaldamagedealt,magicdamagedealt,physicaldamagedealt,truedamagedealt,damageselfmitigated,damagedealttoobjectives,damagedealttoturrets,totaldamagedealttochampions,magicdamagedealttochampions,physicaldamagedealttochampions,truedamagedealttochampions,totaldamagetaken,physicaldamagetaken,truedamagetaken,totalheal,t2.gameDuration/60,matchRankScore,champName
86,2695191130,51117315,1,7,7,18,150,18,143757,14396,122725,6636,13441,8585,1125,26813,4008,20160,2644,23105,12994,956,5200,28.1,,Gangplank
87,2695191130,201732972,1,5,8,11,43,11,131132,21582,101546,8003,14954,9984,3266,16042,3640,12217,184,27526,16309,235,7115,28.1,,Gnar
88,2695191130,230708279,0,0,7,14,26,30,10944,7855,3089,0,10033,2766,2075,5017,4023,993,0,17557,12344,910,1362,28.1,,Lulu
89,2695191130,243147008,0,8,11,5,169,12,133945,14960,113930,5054,16452,6295,5014,19454,1873,17533,48,22129,15460,962,1387,28.1,,Draven
90,2695191136,34096233,0,8,1,7,242,14,197784,176355,17668,3761,5738,2121,1657,41533,39681,1752,100,6141,2548,524,0,34.2167,,Lux
91,2695191136,34968654,1,7,5,14,42,20,192143,41956,136416,13770,30489,19133,4939,20503,2198,17805,500,34342,22531,645,11744,34.2167,,Lee Sin
92,2695191136,38317015,1,7,8,10,131,24,83852,55618,24471,3762,11383,3153,2154,17257,12790,2997,1470,21928,9367,1170,2477,34.2167,,Fizz
93,2695191136,201466929,1,2,6,16,154,13,111263,73783,27253,10226,49364,5601,2946,13670,9093,4577,0,26915,14154,2584,1831,34.2167,,Nautilus
94,2695191136,219283385,1,20,3,8,251,9,227246,42352,173540,11354,5447,17379,7212,41298,2847,38217,234,15018,7598,210,2630,34.2167,,Lucian
95,2695191136,233295758,0,1,10,4,11,18,15792,12044,3748,0,21418,59,59,4237,3821,416,0,22533,16500,324,200,34.2167,,Thresh
96,2695191136,233682402,0,6,9,5,79,12,188332,5184,173124,10024,26280,8549,3478,13467,0,12411,1056,40389,27197,746,15654,34.2167,,Kayn
